antecedents,consequents,support,confidence,lift,Clean antecedents,Clean consequents,Clean Rule
"frozenset({'packaged vegetables fruits', 'packaged cheese', 'milk'})","frozenset({'fresh fruits', 'yogurt', 'fresh vegetables'})",0.01065,0.3372387587080431,3.714492330741746,"packaged vegetables fruits, packaged cheese, milk","fresh fruits, yogurt, fresh vegetables","packaged vegetables fruits, packaged cheese, milk → fresh fruits, yogurt, fresh vegetables"
"frozenset({'yogurt', 'packaged vegetables fruits', 'packaged cheese'})","frozenset({'fresh fruits', 'fresh vegetables', 'milk'})",0.01065,0.3404731457800511,3.645322759957721,"yogurt, packaged vegetables fruits, packaged cheese","fresh fruits, fresh vegetables, milk","yogurt, packaged vegetables fruits, packaged cheese → fresh fruits, fresh vegetables, milk"
"frozenset({'fresh fruits', 'yogurt', 'packaged cheese', 'fresh vegetables'})","frozenset({'packaged vegetables fruits', 'milk'})",0.01065,0.3374524714828897,3.6261817266590346,"fresh fruits, yogurt, packaged cheese, fresh vegetables","packaged vegetables fruits, milk","fresh fruits, yogurt, packaged cheese, fresh vegetables → packaged vegetables fruits, milk"
"frozenset({'fresh fruits', 'packaged cheese', 'fresh vegetables', 'milk'})","frozenset({'yogurt', 'packaged vegetables fruits'})",0.01065,0.3300278896808181,3.556335018112264,"fresh fruits, packaged cheese, fresh vegetables, milk","yogurt, packaged vegetables fruits","fresh fruits, packaged cheese, fresh vegetables, milk → yogurt, packaged vegetables fruits"
"frozenset({'fresh fruits', 'packaged vegetables fruits', 'packaged cheese', 'milk'})","frozenset({'yogurt', 'fresh vegetables'})",0.01065,0.3832313781935948,3.4905854649202555,"fresh fruits, packaged vegetables fruits, packaged cheese, milk","yogurt, fresh vegetables","fresh fruits, packaged vegetables fruits, packaged cheese, milk → yogurt, fresh vegetables"
"frozenset({'yogurt', 'packaged vegetables fruits', 'fresh vegetables', 'milk'})","frozenset({'fresh fruits', 'packaged cheese'})",0.01065,0.4135922330097087,3.449476505502158,"yogurt, packaged vegetables fruits, fresh vegetables, milk","fresh fruits, packaged cheese","yogurt, packaged vegetables fruits, fresh vegetables, milk → fresh fruits, packaged cheese"
"frozenset({'yogurt', 'packaged cheese', 'fresh vegetables'})","frozenset({'packaged vegetables fruits', 'milk'})",0.01129,0.3143095768374164,3.377493840935057,"yogurt, packaged cheese, fresh vegetables","packaged vegetables fruits, milk","yogurt, packaged cheese, fresh vegetables → packaged vegetables fruits, milk"
"frozenset({'fresh fruits', 'yogurt', 'packaged vegetables fruits', 'packaged cheese'})","frozenset({'fresh vegetables', 'milk'})",0.01065,0.3818572965220508,3.3058375597095564,"fresh fruits, yogurt, packaged vegetables fruits, packaged cheese","fresh vegetables, milk","fresh fruits, yogurt, packaged vegetables fruits, packaged cheese → fresh vegetables, milk"
"frozenset({'fresh fruits', 'yogurt', 'packaged vegetables fruits', 'milk'})","frozenset({'packaged cheese', 'fresh vegetables'})",0.01065,0.3291100123609394,3.259805986142428,"fresh fruits, yogurt, packaged vegetables fruits, milk","packaged cheese, fresh vegetables","fresh fruits, yogurt, packaged vegetables fruits, milk → packaged cheese, fresh vegetables"
"frozenset({'packaged cheese', 'fresh vegetables', 'milk'})","frozenset({'yogurt', 'packaged vegetables fruits'})",0.01129,0.3021948608137045,3.2564101380787127,"packaged cheese, fresh vegetables, milk","yogurt, packaged vegetables fruits","packaged cheese, fresh vegetables, milk → yogurt, packaged vegetables fruits"
